Start Time: 16:09:36
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=60, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.162, 0.000, 0.026
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.126, 0.006, -0.004
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.139, 0.003, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.172, 0.000, 0.029
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.162, 0.000, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.169, 0.000, 0.027
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.158, 0.001, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.146, 0.002, 0.017
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.142, 0.002, 0.018
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.168, 0.000, 0.023
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.166, 0.000, 0.025
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.156, 0.001, 0.015
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.150, 0.001, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.187, 0.000, 0.025
ridge            , LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.177, 0.000, 0.029
linear_regression, LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.197, 0.000, 0.028
ridge            , LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.185, 0.000, 0.032
linear_regression, LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.198, 0.000, 0.024
ridge            , LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.187, 0.000, 0.033
linear_regression, LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.228, 0.000, 0.052
ridge            , LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.225, 0.000, 0.041
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.219, 0.000, 0.048
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.216, 0.000, 0.039
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.206, 0.000, 0.040
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.211, 0.000, 0.039
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.226, 0.000, 0.049
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.231, 0.000, 0.046
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.212, 0.000, 0.039
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.218, 0.000, 0.043
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.235, 0.000, 0.048
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.240, 0.000, 0.052
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.248, 0.000, 0.054
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.248, 0.000, 0.055
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.243, 0.000, 0.048
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.244, 0.000, 0.054
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.146, 0.002, 0.020
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.129, 0.005, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.167, 0.000, 0.026
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.143, 0.002, 0.018
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.155, 0.001, 0.022
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.129, 0.005, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.173, 0.000, 0.027
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.149, 0.001, 0.021
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.181, 0.000, 0.028
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.153, 0.001, 0.022
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.200, 0.000, 0.034
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.167, 0.000, 0.026
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.207, 0.000, 0.037
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.170, 0.000, 0.027
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.215, 0.000, 0.040
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.182, 0.000, 0.031
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.161, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.161, 0.000, 0.024
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.157, 0.001, 0.021
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.162, 0.000, 0.025
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.150, 0.001, 0.017
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.158, 0.001, 0.024
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.145, 0.002, 0.013
ridge            , LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.153, 0.001, 0.023
linear_regression, LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.139, 0.003, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca6, arousal    , True, True, 0.141, 0.002, 0.020
linear_regression, LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.127, 0.006, 0.001
ridge            , LeaveOneClipOutForAllSubject, pca7, arousal    , True, True, 0.128, 0.006, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.113, 0.014, -0.006
ridge            , LeaveOneClipOutForAllSubject, pca8, arousal    , True, True, 0.115, 0.013, 0.013
linear_regression, LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.098, 0.034, -0.016
ridge            , LeaveOneClipOutForAllSubject, pca9, arousal    , True, True, 0.104, 0.025, 0.009
linear_regression, LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.158, 0.001, 0.025
ridge            , LeaveOneClipOutForAllSubject, pca2, likeability, True, True, 0.138, 0.003, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.158, 0.001, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca3, likeability, True, True, 0.135, 0.003, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.145, 0.002, 0.018
ridge            , LeaveOneClipOutForAllSubject, pca4, likeability, True, True, 0.119, 0.010, 0.013
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.162, 0.000, 0.023
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.143, 0.002, 0.019
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.163, 0.000, 0.021
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.141, 0.002, 0.019
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.193, 0.000, 0.032
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.164, 0.000, 0.025
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.202, 0.000, 0.035
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.169, 0.000, 0.027
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.216, 0.000, 0.041
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.187, 0.000, 0.032
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.218, 0.000, 0.047
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.209, 0.000, 0.037
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.208, 0.000, 0.043
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.198, 0.000, 0.034
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.199, 0.000, 0.038
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.191, 0.000, 0.033
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.218, 0.000, 0.046
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.213, 0.000, 0.040
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.217, 0.000, 0.044
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.211, 0.000, 0.040
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.241, 0.000, 0.054
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.232, 0.000, 0.049
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.255, 0.000, 0.062
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.239, 0.000, 0.051
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.265, 0.000, 0.067
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.246, 0.000, 0.054
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True, 0.167, 0.000, 0.027
ridge            , LeaveOneSubjOut, pca2, valence    , True, True, 0.161, 0.000, 0.021
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True, 0.183, 0.000, 0.033
ridge            , LeaveOneSubjOut, pca3, valence    , True, True, 0.174, 0.000, 0.024
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True, 0.171, 0.000, 0.027
ridge            , LeaveOneSubjOut, pca4, valence    , True, True, 0.163, 0.000, 0.022
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True, 0.187, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca5, valence    , True, True, 0.181, 0.000, 0.028
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True, 0.189, 0.000, 0.030
ridge            , LeaveOneSubjOut, pca6, valence    , True, True, 0.178, 0.000, 0.028
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True, 0.210, 0.000, 0.037
ridge            , LeaveOneSubjOut, pca7, valence    , True, True, 0.196, 0.000, 0.034
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True, 0.225, 0.000, 0.045
ridge            , LeaveOneSubjOut, pca8, valence    , True, True, 0.205, 0.000, 0.037
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True, 0.226, 0.000, 0.043
ridge            , LeaveOneSubjOut, pca9, valence    , True, True, 0.209, 0.000, 0.039
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True, 0.180, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True, 0.187, 0.000, 0.030
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True, 0.181, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True, 0.192, 0.000, 0.033
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True, 0.175, 0.000, 0.027
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True, 0.189, 0.000, 0.032
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True, 0.175, 0.000, 0.026
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True, 0.188, 0.000, 0.033
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True, 0.174, 0.000, 0.024
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True, 0.182, 0.000, 0.031
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True, 0.165, 0.000, 0.018
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True, 0.173, 0.000, 0.029
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True, 0.151, 0.001, 0.010
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True, 0.161, 0.000, 0.026
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True, 0.140, 0.002, 0.002
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True, 0.154, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True, 0.177, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca2, likeability, True, True, 0.171, 0.000, 0.023
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True, 0.178, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca3, likeability, True, True, 0.172, 0.000, 0.023
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True, 0.165, 0.000, 0.025
ridge            , LeaveOneSubjOut, pca4, likeability, True, True, 0.159, 0.001, 0.021
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True, 0.180, 0.000, 0.029
ridge            , LeaveOneSubjOut, pca5, likeability, True, True, 0.179, 0.000, 0.027
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True, 0.175, 0.000, 0.025
ridge            , LeaveOneSubjOut, pca6, likeability, True, True, 0.170, 0.000, 0.026
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True, 0.206, 0.000, 0.036
ridge            , LeaveOneSubjOut, pca7, likeability, True, True, 0.196, 0.000, 0.034
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True, 0.221, 0.000, 0.044
ridge            , LeaveOneSubjOut, pca8, likeability, True, True, 0.207, 0.000, 0.037
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True, 0.222, 0.000, 0.041
ridge            , LeaveOneSubjOut, pca9, likeability, True, True, 0.213, 0.000, 0.040
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True, 0.233, 0.000, 0.054
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True, 0.230, 0.000, 0.043
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True, 0.227, 0.000, 0.051
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True, 0.225, 0.000, 0.042
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True, 0.219, 0.000, 0.047
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True, 0.222, 0.000, 0.042
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True, 0.235, 0.000, 0.054
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True, 0.241, 0.000, 0.049
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True, 0.227, 0.000, 0.048
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True, 0.234, 0.000, 0.048
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True, 0.249, 0.000, 0.057
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True, 0.253, 0.000, 0.056
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True, 0.267, 0.000, 0.068
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True, 0.264, 0.000, 0.060
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True, 0.266, 0.000, 0.065
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True, 0.264, 0.000, 0.061
Start Time: 16:33:45
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=60, hl_margins=(5, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.053, 0.256, -0.004
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True, 0.049, 0.287, 0.002
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.064, 0.166, -0.007
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True, 0.065, 0.160, 0.004
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.128, 0.005, 0.005
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True, 0.140, 0.002, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.086, 0.062, -0.017
ridge            , LeaveOneClipOutForEachSubject, pca5, valence    , True, True, 0.106, 0.022, 0.011
linear_regression, LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.074, 0.110, -0.031
ridge            , LeaveOneClipOutForEachSubject, pca6, valence    , True, True, 0.093, 0.044, 0.007
linear_regression, LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.112, 0.016, -0.029
ridge            , LeaveOneClipOutForEachSubject, pca7, valence    , True, True, 0.127, 0.006, 0.015
linear_regression, LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.132, 0.004, -0.022
ridge            , LeaveOneClipOutForEachSubject, pca8, valence    , True, True, 0.144, 0.002, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.113, 0.014, -0.040
ridge            , LeaveOneClipOutForEachSubject, pca9, valence    , True, True, 0.127, 0.006, 0.015
linear_regression, LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.142, 0.002, 0.017
ridge            , LeaveOneClipOutForEachSubject, pca2, arousal    , True, True, 0.153, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.139, 0.003, 0.014
ridge            , LeaveOneClipOutForEachSubject, pca3, arousal    , True, True, 0.150, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.134, 0.004, 0.009
ridge            , LeaveOneClipOutForEachSubject, pca4, arousal    , True, True, 0.147, 0.001, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.127, 0.006, 0.003
ridge            , LeaveOneClipOutForEachSubject, pca5, arousal    , True, True, 0.147, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.105, 0.023, -0.008
ridge            , LeaveOneClipOutForEachSubject, pca6, arousal    , True, True, 0.129, 0.005, 0.017
linear_regression, LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.099, 0.032, -0.017
ridge            , LeaveOneClipOutForEachSubject, pca7, arousal    , True, True, 0.128, 0.006, 0.016
linear_regression, LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.104, 0.024, -0.018
ridge            , LeaveOneClipOutForEachSubject, pca8, arousal    , True, True, 0.133, 0.004, 0.017
linear_regression, LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.100, 0.030, -0.021
ridge            , LeaveOneClipOutForEachSubject, pca9, arousal    , True, True, 0.127, 0.006, 0.016
linear_regression, LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.058, 0.209, -0.003
ridge            , LeaveOneClipOutForEachSubject, pca2, likeability, True, True, 0.056, 0.226, 0.003
linear_regression, LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.057, 0.219, -0.007
ridge            , LeaveOneClipOutForEachSubject, pca3, likeability, True, True, 0.058, 0.209, 0.003
linear_regression, LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.124, 0.007, 0.005
ridge            , LeaveOneClipOutForEachSubject, pca4, likeability, True, True, 0.138, 0.003, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.081, 0.081, -0.016
ridge            , LeaveOneClipOutForEachSubject, pca5, likeability, True, True, 0.100, 0.031, 0.010
linear_regression, LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.067, 0.146, -0.032
ridge            , LeaveOneClipOutForEachSubject, pca6, likeability, True, True, 0.087, 0.061, 0.006
linear_regression, LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.116, 0.012, -0.025
ridge            , LeaveOneClipOutForEachSubject, pca7, likeability, True, True, 0.132, 0.004, 0.017
linear_regression, LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.142, 0.002, -0.016
ridge            , LeaveOneClipOutForEachSubject, pca8, likeability, True, True, 0.157, 0.001, 0.025
linear_regression, LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.121, 0.009, -0.036
ridge            , LeaveOneClipOutForEachSubject, pca9, likeability, True, True, 0.140, 0.002, 0.019
linear_regression, LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.120, 0.010, 0.011
ridge            , LeaveOneClipOutForEachSubject, pca2, rewatch    , True, True, 0.121, 0.009, 0.014
linear_regression, LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.115, 0.013, 0.007
ridge            , LeaveOneClipOutForEachSubject, pca3, rewatch    , True, True, 0.123, 0.008, 0.015
linear_regression, LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.165, 0.000, 0.020
ridge            , LeaveOneClipOutForEachSubject, pca4, rewatch    , True, True, 0.182, 0.000, 0.031
linear_regression, LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.125, 0.007, -0.002
ridge            , LeaveOneClipOutForEachSubject, pca5, rewatch    , True, True, 0.149, 0.001, 0.022
linear_regression, LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.121, 0.009, -0.013
ridge            , LeaveOneClipOutForEachSubject, pca6, rewatch    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.161, 0.000, -0.003
ridge            , LeaveOneClipOutForEachSubject, pca7, rewatch    , True, True, 0.184, 0.000, 0.034
linear_regression, LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.182, 0.000, 0.003
ridge            , LeaveOneClipOutForEachSubject, pca8, rewatch    , True, True, 0.202, 0.000, 0.040
linear_regression, LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.159, 0.001, -0.019
ridge            , LeaveOneClipOutForEachSubject, pca9, rewatch    , True, True, 0.187, 0.000, 0.035
linear_regression, LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.042, 0.366, -0.006
ridge            , LeaveOneClipOutForAllSubject, pca2, valence    , True, True, 0.023, 0.613, -0.001
linear_regression, LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.057, 0.217, -0.008
ridge            , LeaveOneClipOutForAllSubject, pca3, valence    , True, True, 0.041, 0.381, 0.000
linear_regression, LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.130, 0.005, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca4, valence    , True, True, 0.126, 0.006, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.106, 0.022, -0.002
ridge            , LeaveOneClipOutForAllSubject, pca5, valence    , True, True, 0.105, 0.023, 0.011
linear_regression, LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.100, 0.031, -0.008
ridge            , LeaveOneClipOutForAllSubject, pca6, valence    , True, True, 0.099, 0.032, 0.009
linear_regression, LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.151, 0.001, 0.008
ridge            , LeaveOneClipOutForAllSubject, pca7, valence    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.168, 0.000, 0.013
ridge            , LeaveOneClipOutForAllSubject, pca8, valence    , True, True, 0.160, 0.001, 0.025
linear_regression, LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.154, 0.001, 0.004
ridge            , LeaveOneClipOutForAllSubject, pca9, valence    , True, True, 0.146, 0.002, 0.021
linear_regression, LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.129, 0.005, 0.012
ridge            , LeaveOneClipOutForAllSubject, pca2, arousal    , True, True, 0.132, 0.004, 0.017
linear_regression, LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.122, 0.008, 0.007
ridge            , LeaveOneClipOutForAllSubject, pca3, arousal    , True, True, 0.127, 0.006, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.118, 0.011, 0.003
ridge            , LeaveOneClipOutForAllSubject, pca4, arousal    , True, True, 0.123, 0.007, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca5, arousal    , True, True, 0.112, 0.016, -0.001
