Start Time: 16:33:20,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(7, 0) ,,,,,,,,,,,,,
linear_regression, LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True,0.093,0.045,-0.01,,,,,,,,,,
ridge            , LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True,0.076,0.1,0.003,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True,0.09,0.052,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, valence    , True, True,0.089,0.055,0.007,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True,0.078,0.092,0.003,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, valence    , True, True,0.07,0.132,0.005,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True,0.053,0.255,-0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, valence    , True, True,0.057,0.215,0.003,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True,0.078,0.094,-0.003,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, valence    , True, True,0.082,0.077,0.007,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True,0.076,0.1,-0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, valence    , True, True,0.086,0.064,0.007,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True,0.091,0.049,-0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, valence    , True, True,0.099,0.032,0.01,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True,0.101,0.028,-0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, valence    , True, True,0.097,0.037,0.009,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True,0.093,0.044,-0.011,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, valence    , True, True,0.088,0.058,0.007,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, valence    , True, True,0.112,0.015,-0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, valence    , True, True,0.094,0.041,0.008,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, valence    , True, True,0.11,0.018,-0.01,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, valence    , True, True,0.104,0.025,0.01,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True,0.18,0,0.031,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True,0.181,0,0.028,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True,0.172,0,0.027,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True,0.173,0,0.026,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True,0.146,0.002,0.015,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True,0.153,0.001,0.022,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True,0.164,0,0.019,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True,0.166,0,0.026,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True,0.166,0,0.018,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True,0.177,0,0.03,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True,0.15,0.001,0.008,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True,0.165,0,0.027,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True,0.149,0.001,0.004,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True,0.163,0,0.026,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True,0.163,0,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True,0.176,0,0.031,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, arousal    , True, True,0.154,0.001,0,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, arousal    , True, True,0.162,0,0.026,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, arousal    , True, True,0.144,0.002,-0.009,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, arousal    , True, True,0.159,0.001,0.025,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True,0.099,0.032,0.009,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, likeability, True, True,0.097,0.035,0.008,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True,0.076,0.101,0.003,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, likeability, True, True,0.068,0.14,0.005,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True,0.044,0.337,-0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, likeability, True, True,0.046,0.322,0.001,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True,0.06,0.193,-0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, likeability, True, True,0.065,0.158,0.004,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True,0.063,0.176,-0.009,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, likeability, True, True,0.073,0.117,0.005,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True,0.082,0.077,-0.008,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, likeability, True, True,0.092,0.047,0.008,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True,0.116,0.012,0,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, likeability, True, True,0.109,0.018,0.012,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True,0.11,0.018,-0.004,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, likeability, True, True,0.099,0.032,0.01,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, likeability, True, True,0.124,0.007,-0.001,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, likeability, True, True,0.106,0.022,0.011,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, likeability, True, True,0.128,0.006,-0.001,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, likeability, True, True,0.12,0.009,0.014,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True,0.15,0.001,0.022,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True,0.148,0.001,0.017,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True,0.143,0.002,0.019,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True,0.136,0.003,0.016,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True,0.123,0.008,0.011,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True,0.122,0.008,0.015,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True,0.12,0.009,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True,0.123,0.008,0.015,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True,0.122,0.008,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True,0.131,0.004,0.017,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True,0.131,0.004,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True,0.143,0.002,0.02,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True,0.135,0.004,0.006,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True,0.136,0.003,0.018,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True,0.129,0.005,0.003,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True,0.128,0.006,0.016,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca10, rewatch    , True, True,0.142,0.002,0.007,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca10, rewatch    , True, True,0.133,0.004,0.018,,,,,,,,,,
linear_regression, LeaveOneSubjOut, pca11, rewatch    , True, True,0.132,0.004,0.001,,,,,,,,,,
ridge            , LeaveOneSubjOut, pca11, rewatch    , True, True,0.128,0.006,0.016,,,,,,,,,,
Start Time: 17:00:34,,,,,,,,,,,,,,,,,,
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(5, 0) ,,,,,,,,,,,,,
run_features=True, with: is_hl=True , specific_blendshapes=False ,,,,,,,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.052,0.263,-0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca2, valence    , True, True,0.042,0.361,0.001,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.089,0.054,0,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca3, valence    , True, True,0.08,0.084,0.006,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.096,0.037,-0.002,,,,,,,,,,
ridge            , LeaveOneClipOutForEachSubject, pca4, valence    , True, True,0.097,0.036,0.009,,,,,,,,,,
linear_regression, LeaveOneClipOutForEachSubject, pca5, valence    , True, True,0.08,0.083,-0.011,,,,,,,,,,
